727714774 123299842 73008110395  66746 126012438 parentesis_s: 17182621974445594622 
1018632692 241588000 32230441187  64853 246902935 parentesis_s: 5861751110273444064 
719864430 120653956 109748122013  66788 123308343 parentesis_s: 17182621974448240508 
830678656 160659437 57741379521  66148 164193944 parentesis_s: 11522186542381303827 
1036702492 250235213 32559620279  64715 255740387 parentesis_s: 5861751110264796851 
1073287477 268208330 84053367384  64427 274108913 parentesis_s: 201315678219892534 
784688604 143362256 30852372055  66425 146516225 parentesis_s: 11522186542398601008 
881537269 180934545 60680950653  65824 184915104 parentesis_s: 11522186542361028719 
864110366 173851550 75473063520  65937 177676284 parentesis_s: 11522186542368111714 
1036317515 250049399 30295370561  64718 255550485 parentesis_s: 5861751110264982665 
812400513 153666966 72717823633  66260 157047639 parentesis_s: 11522186542388296298 
829649380 160261544 55933925907  66154 163787297 parentesis_s: 11522186542381701720 
1064107578 263639944 63107358984  64500 269440022 parentesis_s: 201315678224460920 
814694521 154536022 51344280633  66246 157935814 parentesis_s: 11522186542387427242 
745144258 129276878 78065193035  66650 132120969 parentesis_s: 17182621974439617586 
1061363192 262281816 3367606085  64522 268052015 parentesis_s: 5861751110252750248 
948357831 209403823 48595586749  65368 214010707 parentesis_s: 5861751110305628241 
781502773 142200520 19209838449  66443 145328931 parentesis_s: 11522186542399762744 
1044962295 254238536 40908838914  64651 259831783 parentesis_s: 5861751110260793528 
774069483 139508294 78991617488  66486 142577476 parentesis_s: 11522186542402454970 
966862903 217655644 44563917235  65236 222444068 parentesis_s: 5861751110297376420 
764293941 136006909 46827570113  66542 138999060 parentesis_s: 11522186542405956355 
758720164 134030423 63277250510  66574 136979092 parentesis_s: 11522186542407932841 
951465185 210778321 62094978159  65346 215415444 parentesis_s: 5861751110304253743 
931668039 202098240 22402327281  65485 206544401 parentesis_s: 5861751110312933824 
979647624 223449772 590103676  65143 228365666 parentesis_s: 5861751110291582292 
772775013 139042087 80719258215  66494 142101012 parentesis_s: 11522186542402921177 
729549270 123922279 61710634230  66736 126648569 parentesis_s: 17182621974444972185 
903551182 190084040 45214293968  65677 194265888 parentesis_s: 11522186542351879224 
996981177 231427016 57553338211  65016 236518410 parentesis_s: 5861751110283605048 
725594799 122582496 53352908269  66757 125279310 parentesis_s: 17182621974446311968 
943147379 207109138 68425237755  65405 211665539 parentesis_s: 5861751110307922926 
723922096 122017972 102271357575  66766 124702367 parentesis_s: 17182621974446876492 
955713340 212664713 9527282976  65316 217343336 parentesis_s: 5861751110302367351 
860800010 172522072 25209806636  65958 176317557 parentesis_s: 11522186542369441192 
1019171728 241843753 81552030252  64849 247164315 parentesis_s: 5861751110273188311 
878584814 179724599 70918880031  65843 183678540 parentesis_s: 11522186542362238665 
778772040 141208500 76303159553  66459 144315086 parentesis_s: 11522186542400754764 
1045658882 254577607 21064043383  64645 260178314 parentesis_s: 5861751110260454457 
